"","name","district","hometown","party","leadership","committees","bio","url"
"34","Emilia Strong Sykes","District 34",NA,"Democrat","Minority Whip","Finance; Finance Subcommittee on Health and Human Services; Health; Joint Medicaid Oversight Committee; Rules and Reference; Ways and Means","Born and raised in Akron, State Rep. Emilia Strong Sykes was elected to represent her hometown (OH-34) in November 2014. Two years later, Sykes was elected by her colleagues to serve in leadership as the minority whip. With a strong sense of responsibility for the well-being of those that she serves, Sykes has tackled the challenges of her district with unmatched passion and dedication.","http://www.ohiohouse.gov/emilia-sykes"
"35","Tavia Galonski","District 35",NA,"Democrat",NA,"Civil Justice; Criminal Justice; Education and Career Readiness","As a former Teamster and daughter of UAW worker, state Rep. Tavia Galonski (D-Akron) knows the importance of rewarding hard work and putting family first. From the creation of new, better-paying jobs to fully funding our schools and protecting our children, Galonski is focused on using her legal expertise and work experience to address the biggest challenges facing the state and improve the quality of life for residents of the 35th House district.","http://www.ohiohouse.gov/tavia-galonski"
"36","Anthony DeVitis","District 36","Green","Republican",NA,"Financial Institutions, Housing, and Urban Development; Public Utilities; Transportation and Public Safety","State Representative Anthony DeVitis is currently serving his third term in the Ohio House of Representatives, having been appointed to the House in 2011. He represents the 36th House District, which includes portions of southern Summit County.","http://www.ohiohouse.gov/anthony-devitis"
"37","Kristina Roegner","District 37","Hudson","Republican",NA,"Federalism and Interstate Relations; Public Utilities","State Representative Kristina Roegner is serving her fourth term in the Ohio House of Representatives. She represents the 37th Ohio House District, which includes portions of northeastern Summit County.","http://www.ohiohouse.gov/kristina-roegner"
"38","Marilyn Slaby","District 38","Copley","Republican",NA,"Education and Career Readiness","State Representative Marilyn Slaby is currently serving her fourth term in the Ohio House of Representatives.  She represents the 38th District, which includes western portions of Summit and Stark counties.","http://www.ohiohouse.gov/marilyn-slaby"
"39","Fred Strahorn","District 39","Dayton","Democrat","Minority Leader","Rules and Reference","House Democratic Leader Fred Strahorn returned to the Ohio House in 2013, after serving as State Senator for the 5th district from 2009 to 2011 and Senior Political Advisor to the Ohio Democratic party from 2011 to 2013.","http://www.ohiohouse.gov/fred-strahorn"
"40","Michael Henne","District 40","Clayton","Republican",NA,"Education and Career Readiness; Insurance; Ways and Means","State Representative Mike Henne is currently serving his fourth term in the Ohio House of Representatives. He represents the 40th House District, which includes portions of Montgomery County.","http://www.ohiohouse.gov/michael-henne"
"41","Jim Butler","District 41","Oakwood","Republican",NA,"Civil Justice; Criminal Justice; Education and Career Readiness; Finance; Finance Subcommittee on State Government and Agency Review; Health","State Representative Jim Butler is currently serving his third elected term as a member ofthe Ohio House of Representatives.  He represents the 41st House District in MontgomeryCounty (Centerville, Kettering, Oakwood and portions of Riverside and Dayton).","http://www.ohiohouse.gov/jim-butler"
"42","Niraj J. Antani","District 42","Miamisburg","Republican",NA,"Aging and Long Term Care; Community and Family Advancement; Energy and Natural Resources; Health; Higher Education and Workforce Development","State Representative Niraj Antani is serving his second term in the Ohio House. He represents the 42nd District, which covers most of southern Montgomery County. Having been elected age 23, now 26, he is the youngest currently serving member of the House. In addition, he is the second Indian-American state elected official in Ohio history, and the first Indian-American Republican. Currently. Antani serves as Vice-Chairman of the Committee on Higher Education and Workforce Development, as well as a member of the Committee on Health, Committee on Energy and Natural Resources, Committee on Aging and Long Te...
							 									
							[ Read Full Biography |
							Download PDF Biography ]","http://www.ohiohouse.gov/niraj-antani"
"43","Michael Ashford","District 44","Toledo","Democrat",NA,"Federalism and Interstate Relations; Insurance; Public Utilities; State and Local Government","Minority Whip Michael Ashford (D-44th District) is serving his fourth term in the Ohio House of Representatives. He proudly represents more than 116,000 constituents in a district wholly within the city of Toledo.","http://www.ohiohouse.gov/michael-ashford"
"44","Teresa Fedor","District 45","Toledo","Democrat",NA,"Armed Services, Veterans Affairs, and Homeland Security; Education Oversight Committee, Joint; Education and Career Readiness; Ways and Means","Representative Teresa Fedor is a Democratic member of the Ohio House of Representatives who has represented the 45th and 47th Districts since 2010. She was elected to the Ohio Senate in 2002 and served as a member until 2010. Prior, the citizens of Toledo elected her to serve the 52nd District of the Ohio House of Representatives in 2000. Due to term-limits, she is currently a candidate for the Ohio Senate, District 11 to continue her work in the Ohio Legislature. A proud veteran, she served in the United States Air Force and Ohio Air National Guard before receiving a B.S. in E...","http://www.ohiohouse.gov/teresa-fedor"
"45","Michael Sheehy","District 46","Toledo","Democrat",NA,"Agriculture and Rural Development; Community and Family Advancement; Economic Development, Commerce, and Labor; Transportation and Public Safety","State Representative Michael P. Sheehy (D-Oregon) proudly serves the people of Ohio House District 46, which spans several political subdivisions including Jerusalem Township on the east to Springfield Township on the west. The district also includes the cities of Oregon, Maumee, parts of Toledo, and the Village of Holland. Before joining the legislature, Rep. Sheehy served in municipal government for nearly two decades, where he served several terms as President of Oregon City Council.","http://www.ohiohouse.gov/michael-sheehy"
"46","Derek Merrin","District 47","Monclova Township","Republican",NA,"Aging and Long Term Care; Agriculture and Rural Development; Federalism and Interstate Relations; Health; Ways and Means","State Representative Derek Merrin is currently serving his first full term in the Ohio House after being appointed in 2016. He represents the 47th district, which includes portions of Fulton and Lucas counties.","http://www.ohiohouse.gov/derek-merrin"
"47","Kirk Schuring","District 48","Canton","Republican","Speaker Pro Tempore","Aging and Long Term Care; Congressional Redistricting Working Group; Ohio Retirement Study Council; Rules and Reference","State Representative Kirk Schuring returns to the Ohio House of Representatives for his fourth term. He represents the 48th District, which includes portions of Stark County. He was selected by his peers to serve as Speaker Pro Tempore for the 132nd General Assembly, second to Speaker Clifford A. Rosenberger (R-Clarksville).","http://www.ohiohouse.gov/kirk-schuring"
"48","Thomas West","District 49","Canton","Democrat",NA,"Economic Development, Commerce, and Labor; Health; Transportation and Public Safety","Thomas West is the first African American from Stark County to be elected as a state legislator. Having served on Canton City Council for over ten years, West plans to use his public service experience to give a voice to the needs and problems of common, everyday people and local community-based organizations.","http://www.ohiohouse.gov/thomas-west"
"49","Christina Hagan","District 50","Alliance","Republican",NA,"Agriculture and Rural Development; Energy and Natural Resources; Public Utilities","State Representative Christina Hagan is currently serving her third term in the Ohio House of Representatives. She represents the 50th House District, which includes the eastern portion of Stark County.","http://www.ohiohouse.gov/christina-hagan"
"50","Wes Retherford","District 51","Hamilton","Republican",NA,"Federalism and Interstate Relations; Insurance; Ways and Means","State Representative Wes Retherford is serving his third term in the Ohio House of Representatives. He represents the 51st House District, which encompasses portions of Butler County, including the cities of Hamilton and Fairfield, Ross Township, and portions of Fairfield, Hanover, and St. Clair townships.","http://www.ohiohouse.gov/wes-retherford"
"51","George F. Lang","District 52","West Chester","Republican",NA,"Community and Family Advancement; Criminal Justice; Finance; Insurance","State Representative George Lang is serving his first term in the Ohio House of Representatives after being appointed in September 2017. He represents the 52nd House District, which includes West Chester Township, Liberty Township, Fairfield Township and part of Sharonville in Butler County.","http://www.ohiohouse.gov/george-lang"
"52","Candice Keller","District 53","Middletown","Republican",NA,"Agriculture and Rural Development; Finance; Health; Transportation and Public Safety","State Representative Candice Keller is currently serving her first full term in the Ohio House after being appointed in 2016. She represents the 53rd House District, which is made up of Butler County.","http://www.ohiohouse.gov/candice-keller"
"53","Paul Zeltwanger","District 54","Mason","Republican",NA,"Armed Services, Veterans Affairs, and Homeland Security; Federalism and Interstate Relations; Higher Education and Workforce Development","Representative Paul Zeltwanger is currently serving his second term as state representative. He represents the 54th Ohio House District, which encompasses portions of Warren County including Deerfield Township, Lebanon and Mason, as well as part of Butler County.","http://www.ohiohouse.gov/paul-zeltwanger"
"54","Nathan H. Manning","District 55","North Ridgeville","Republican",NA,"Civil Justice; Criminal Justice; Education and Career Readiness; Transportation and Public Safety","Representative Nathan Manning is currently serving his second term as state representative. He represents the 55th Ohio House District, which encompasses a portion of Lorain County.","http://www.ohiohouse.gov/nathan-manning"
"55","Daniel Ramos","District 56","Lorain","Democrat",NA,"Education and Career Readiness; Finance; Finance Subcommittee on Higher Education; Finance Subcommittee on State Government and Agency Review; Ohio Retirement Study Council; Ways and Means","Dan Ramos was elected State Representative in 2010, taking the oath of office in January 2011.  This is his first public office.  A Lorain native of Puerto Rican descent, Ramos is a graduate of Lorain Admiral King High School and The Ohio State University.  He is the first Hispanic Representative of either caucus in either the House or Senate to serve in a leadership position.","http://www.ohiohouse.gov/dan-ramos"
"56","Dick Stein","District 57","Norwalk","Republican",NA,"Agriculture and Rural Development; Economic Development, Commerce, and Labor; Education and Career Readiness; Energy and Natural Resources; Public Utilities","Dick Stein is currently serving his first term as state representative. He represents the 57th Ohio House District, which includes all of Huron County and portions of Lorain County.","http://www.ohiohouse.gov/dick-stein"
"57","Michele Lepore-Hagan","District 58","Youngstown","Democrat",NA,"Economic Development, Commerce, and Labor; Health; Transportation and Public Safety","Representative Michele Lepore-Hagan is a wife, a mother and a working woman who cares deeply about her community, region, and state. Her grandparents were Italian and Irish immigrants that came to America in search of a better life. They worked tirelessly to build a better future for her parents.","http://www.ohiohouse.gov/michele-lepore-hagan"
"58","John A. Boccieri","District 59","Poland","Democrat",NA,"Energy and Natural Resources; Insurance; Public Utilities","John Boccieri is a veteran, former U.S. congressman and state senator, who currently represents Ohio’s 59th House district in the state legislature, covering most of Mahoning County.","http://www.ohiohouse.gov/john-boccieri"
"59","John M. Rogers","District 60","Mentor On The Lake","Democrat",NA,"Criminal Justice; Finance; Finance Subcommittee on Transportation; Public Utilities; Ways and Means","John M. Rogers (D-Mentor-on-the-Lake) currently serves as the State Representative for Ohio’s 60th House District, which includes the communities of Eastlake, Fairport Harbor, Grand River, Lakeline, Mentor-on-the-Lake, the City of Painesville, portions of Painesville Township, Timberlake, Wickliffe, Willoughby and Willowick.","http://www.ohiohouse.gov/john-rogers"
"60","Ron Young","District 61","Leroy Township","Republican",NA,"Armed Services, Veterans Affairs, and Homeland Security; Community and Family Advancement; Economic Development, Commerce, and Labor; Federalism and Interstate Relations","State Representative Ron Young is serving in his fourth consecutive term at the Ohio House of Representatives, having previously served from 1997 through 2004.  He represents the 61st House District in eastern portions of Lake County.","http://www.ohiohouse.gov/ron-young"
"61","P. Scott Lipps","District 62","Franklin","Republican",NA,"Economic Development, Commerce, and Labor; Finance; Finance Subcommittee on Agriculture Development and Natural Resources; Finance Subcommittee on State Government and Agency Review; Government Accountability and Oversight","State Representative Scott Lipps is currently serving his first term in the Ohio House of Representatives. He represents the 62nd Ohio House District, which includes much of Warren County.","http://www.ohiohouse.gov/p-lipps"
"62","Glenn W. Holmes","District 63","McDonald","Democrat",NA,"Federalism and Interstate Relations; Insurance; State and Local Government","Glenn Holmes, a lifelong resident of the Mahoning Valley and the 63rd District, begins his first term in the Ohio House of Representatives after serving as Mayor of McDonald, Ohio for nine years and as McDonald Village councilman prior.","http://www.ohiohouse.gov/glenn-holmes"
"63","Michael J. O'Brien","District 64","Warren","Democrat",NA,"Agriculture and Rural Development; Energy and Natural Resources; Finance; Finance Subcommittee on Agriculture Development and Natural Resources; Finance Subcommittee on Health and Human Services; State and Local Government","For Representative Michael O’Brien, public service means more than a title; it is a way of life.  O’Brien’s experience in community leadership, from county and city governments to working with schools and law enforcement, gives him a deep understanding of the needs of the people living and working in the 64th District. He brings his decades-long experience with him to Columbus and looks forward to fighting for the hardworking people in the 64th District.","http://www.ohiohouse.gov/michael-obrien"
"64","John Becker","District 65","Union Township","Republican",NA,"Federalism and Interstate Relations; State and Local Government; Ways and Means","State Representative John Becker is currently serving his third term at the Ohio House of Representatives. He represents the 65th District in northwestern Clermont County, which includes parts of Loveland and Milford, all of Newtonsville and Owensville, as well as Goshen, Miami, Stonelick, Union and Wayne townships.","http://www.ohiohouse.gov/john-becker"
"65","Doug Green","District 66","Mt. Orab","Republican",NA,"Finance; Finance Subcommittee on Transportation; Transportation and Public Safety; Ways and Means","State Representative Doug Green is currently serving his third term at the Ohio House of Representatives. He represents the 66th District, which includes all of Brown County, as well as southeastern Clermont County.","http://www.ohiohouse.gov/doug-green"
"66","Andrew Brenner","District 67","Powell","Republican",NA,"Community and Family Advancement; Education Oversight Committee, Joint; Education and Career Readiness; Financial Institutions, Housing, and Urban Development; Insurance; Rules and Reference","State Representative Andy Brenner is currently serving his fourth term in the Ohio House of Representatives. He represents the 67th House District, which covers the western portion of Delaware County.","http://www.ohiohouse.gov/andrew-brenner"
"67","Rick Carfagna","District 68","Genoa Township","Republican",NA,"Agriculture and Rural Development; Ohio Retirement Study Council; Public Utilities; Rules and Reference; State and Local Government","State Representative Rick Carfagna is serving his first term in the Ohio House of Representatives. He represents the 68th House District, which includes the eastern half of Delaware County and all of Knox County.","http://www.ohiohouse.gov/rick-carfagna"
"68","Stephen D. Hambley","District 69","Brunswick","Republican",NA,"Education Oversight Committee, Joint; Education and Career Readiness; State and Local Government; Ways and Means","State Representative Steve Hambley is serving his second term in the Ohio House of Representatives. He represents the 69th House District, which includes most of Medina County.","http://www.ohiohouse.gov/stephen-hambley"
"69","Darrell Kick","District 70","Loudonville","Republican",NA,"Aging and Long Term Care; Agriculture and Rural Development; Armed Services, Veterans Affairs, and Homeland Security; Health; Transportation and Public Safety","State Representative Darrell Kick is serving his first term in the Ohio House. He represents the 70th District, which includes all of Ashland County and portions of Holmes and Medina counties.","http://www.ohiohouse.gov/darrell-kick"
"70","Scott Ryan","District 71","Granville Township","Republican",NA,"Conference Committee on HB49; Finance; Joint Medicaid Oversight Committee; Rules and Reference; Ways and Means","State Representative Scott Ryan is serving his second term in the Ohio House of Representatives. He serves the 71st District, which includes portions of Licking County.","http://www.ohiohouse.gov/scott-ryan"
"71","Larry Householder","District 72","Glenford","Republican",NA,"Economic Development, Commerce, and Labor; Insurance; Transportation and Public Safety","State Representative Larry Householder is in his first term, after previously serving in the House from 1996 to 2004. He also served as Speaker from 2001 to 2004, before leaving due to term limits.","http://www.ohiohouse.gov/larry-householder"
"72","Rick Perales","District 73","Beavercreek","Republican",NA,"Armed Services, Veterans Affairs, and Homeland Security; Finance; Finance Subcommittee on Higher Education; Higher Education and Workforce Development; Public Utilities; State and Local Government","State Representative Rick Perales is serving his third term in the Ohio House. He serves the 73rd House District, which includes the western portion of Greene County, including Wright Patterson Air Force Base.","http://www.ohiohouse.gov/rick-perales"
